0, -146.0, -4.0, 47.0, 67.0
1, -25.0, 6.0, 92.0, 69.0
2, -104.0, 9.0, 56.0, 62.0
3, -142.0, -4.0, 61.0, 56.0
4, 68.0, 9.0, 76.0, 72.0
5, 124.0, 9.0, 64.0, 66.0
6, -161.0, -16.0, 78.0, 55.0
7, 200.0, 13.0, 70.0, 72.0
8, -127.0, 2.0, 54.0, 73.0
9, -94.0, 4.0, 89.0, 65.0
10, -53.0, 25.0, 79.0, 77.0
11, 156.0, 28.0, 74.0, 45.0
12, -78.0, 3.0, 56.0, 68.0
13, -191.0, 15.0, 74.0, 77.0
14, 9.0, 4.0, 62.0, 57.0
15, 0.0, 1.0, 52.0, 65.0
16, -34.0, 11.0, 92.0, 74.0
17, -179.0, -4.0, 68.0, 61.0
18, -308.0, -1.0, 54.0, 68.0
19, 45.0, 13.0, 66.0, 50.0
20, -21.0, 5.0, 66.0, 63.0
21, 50.0, 6.0, 81.0, 75.0
22, -128.0, 1.0, 73.0, 77.0
23, 83.0, -9.0, 77.0, 68.0
24, -88.0, 0.0, 71.0, 63.0
25, 121.0, -4.0, 82.0, 66.0
26, -25.0, -11.0, 83.0, 92.0
27, -138.0, 1.0, 66.0, 75.0
28, -96.0, 0.0, 55.0, 62.0
29, -266.0, 10.0, 75.0, 82.0
30, 70.0, 19.0, 90.0, 74.0
31, 103.0, 17.0, 64.0, 64.0
32, 48.0, 17.0, 50.0, 42.0
33, 17.0, -3.0, 70.0, 66.0
34, 82.0, 16.0, 74.0, 82.0
35, -113.0, 28.0, 75.0, 62.0
36, -74.0, 8.0, 70.0, 80.0
37, 109.0, 12.0, 62.0, 78.0
38, 25.0, 8.0, 76.0, 65.0
39, -140.0, 12.0, 73.0, 82.0
40, -10.0, 14.0, 73.0, 71.0
41, 69.0, 1.0, 68.0, 73.0
42, 70.0, -2.0, 76.0, 57.0
43, -56.0, 8.0, 80.0, 66.0
44, -70.0, 4.0, 68.0, 80.0
45, -81.0, -11.0, 63.0, 67.0
46, -115.0, 6.0, 61.0, 65.0
47, 129.0, 4.0, 70.0, 69.0
48, 177.0, 9.0, 63.0, 69.0
49, -36.0, 7.0, 65.0, 74.0
50, -72.0, 8.0, 80.0, 62.0
51, 30.0, -5.0, 79.0, 48.0
52, 172.0, 5.0, 84.0, 63.0
53, -34.0, 2.0, 72.0, 70.0
54, -116.0, 6.0, 46.0, 71.0
55, 86.0, 0.0, 50.0, 73.0
56, 235.0, 1.0, 58.0, 63.0
57, 91.0, -6.0, 52.0, 86.0
58, -287.0, 10.0, 51.0, 68.0
59, 72.0, 13.0, 59.0, 78.0
60, -40.0, -19.0, 83.0, 59.0
61, -181.0, 2.0, 58.0, 72.0
62, -31.0, -21.0, 85.0, 73.0
63, 301.0, 6.0, 75.0, 71.0
64, -116.0, 6.0, 60.0, 67.0
65, -3.0, 20.0, 57.0, 78.0
66, -131.0, -1.0, 86.0, 75.0
67, -125.0, 3.0, 65.0, 53.0
68, -192.0, 21.0, 68.0, 68.0
69, 131.0, -14.0, 52.0, 51.0
70, -92.0, 14.0, 63.0, 68.0
71, 246.0, 5.0, 79.0, 67.0
72, 3.0, 17.0, 75.0, 80.0
73, -31.0, -3.0, 56.0, 86.0
74, 13.0, 10.0, 57.0, 71.0
75, 13.0, -5.0, 58.0, 93.0
76, -185.0, 30.0, 75.0, 60.0
77, -7.0, 3.0, 59.0, 72.0
78, -196.0, 0.0, 56.0, 91.0
79, -178.0, 0.0, 58.0, 60.0
80, 9.0, 30.0, 69.0, 76.0
81, -29.0, -1.0, 72.0, 67.0
82, 177.0, 7.0, 83.0, 82.0
83, -38.0, -14.0, 66.0, 79.0
84, -160.0, 11.0, 76.0, 69.0
85, -56.0, 7.0, 53.0, 71.0
86, 107.0, -19.0, 69.0, 53.0
87, -26.0, 16.0, 49.0, 92.0
88, -95.0, -8.0, 63.0, 65.0
89, -179.0, 0.0, 73.0, 70.0
90, -14.0, 10.0, 54.0, 62.0
91, 52.0, 8.0, 55.0, 60.0
92, -105.0, 12.0, 67.0, 66.0
93, -42.0, 14.0, 58.0, 53.0
94, -50.0, 3.0, 78.0, 78.0
95, -41.0, 1.0, 67.0, 68.0
96, -4.0, 0.0, 59.0, 69.0
97, 179.0, -8.0, 80.0, 61.0
98, -97.0, 2.0, 74.0, 81.0
99, -169.0, 10.0, 84.0, 84.0
100, -69.0, 7.0, 70.0, 65.0
101, -11.0, -7.0, 57.0, 73.0
102, 57.0, -1.0, 61.0, 85.0
103, 91.0, 13.0, 84.0, 56.0
104, -26.0, 9.0, 94.0, 59.0
105, 112.0, -5.0, 63.0, 78.0
106, 64.0, 15.0, 67.0, 79.0
107, 172.0, 23.0, 72.0, 76.0
108, 33.0, 7.0, 69.0, 89.0
109, 10.0, 20.0, 61.0, 69.0
110, -101.0, 7.0, 65.0, 77.0
111, -64.0, 15.0, 75.0, 77.0
112, 238.0, 12.0, 65.0, 76.0
113, 280.0, 21.0, 72.0, 73.0
114, 232.0, -5.0, 56.0, 85.0
115, -21.0, 9.0, 69.0, 82.0
116, -125.0, 6.0, 83.0, 69.0
117, -73.0, 4.0, 63.0, 79.0
118, 17.0, 8.0, 73.0, 74.0
119, 252.0, 0.0, 61.0, 57.0
120, 62.0, 10.0, 68.0, 70.0
121, -7.0, -2.0, 65.0, 76.0
122, -71.0, 2.0, 71.0, 93.0
123, 219.0, 2.0, 61.0, 72.0
124, 7.0, 12.0, 67.0, 62.0
125, 58.0, 22.0, 52.0, 73.0
126, 23.0, -5.0, 68.0, 64.0
127, 146.0, 22.0, 66.0, 79.0
128, 26.0, 5.0, 77.0, 75.0
129, -87.0, -3.0, 61.0, 67.0
130, -100.0, -19.0, 77.0, 73.0
131, 136.0, -7.0, 72.0, 73.0
132, -21.0, -2.0, 42.0, 76.0
133, 121.0, -9.0, 61.0, 76.0
134, 9.0, -13.0, 66.0, 78.0
135, 31.0, -1.0, 79.0, 49.0
136, 50.0, 3.0, 81.0, 62.0
137, 49.0, -1.0, 76.0, 59.0
138, -7.0, 15.0, 84.0, 78.0
139, 101.0, -20.0, 40.0, 61.0
140, -129.0, 11.0, 46.0, 83.0
141, -33.0, 13.0, 63.0, 70.0
142, 50.0, 15.0, 80.0, 90.0
143, -133.0, 0.0, 77.0, 68.0
144, -52.0, 6.0, 66.0, 68.0
145, -34.0, -10.0, 67.0, 90.0
146, 97.0, 0.0, 66.0, 69.0
147, 3.0, 15.0, 63.0, 100.0
148, -77.0, 0.0, 73.0, 91.0
149, 41.0, 7.0, 76.0, 77.0
150, -206.0, 1.0, 44.0, 70.0
151, 210.0, -2.0, 65.0, 70.0
152, -74.0, -2.0, 75.0, 59.0
153, 173.0, -6.0, 65.0, 87.0
154, 18.0, 21.0, 60.0, 51.0
155, -54.0, 1.0, 80.0, 84.0
156, -1.0, 20.0, 61.0, 80.0
157, 17.0, 29.0, 53.0, 79.0
158, 114.0, 0.0, 73.0, 73.0
159, 110.0, 11.0, 64.0, 79.0
160, 25.0, -1.0, 72.0, 32.0
161, -29.0, -2.0, 64.0, 79.0
162, -90.0, 7.0, 55.0, 67.0
163, 77.0, -2.0, 72.0, 75.0
164, -15.0, 3.0, 80.0, 70.0
165, -31.0, 7.0, 71.0, 70.0
166, -117.0, 5.0, 69.0, 81.0
167, 69.0, -6.0, 77.0, 62.0
168, -145.0, 5.0, 75.0, 73.0
169, 173.0, 11.0, 59.0, 62.0
170, -56.0, 3.0, 73.0, 72.0
171, 91.0, 3.0, 26.0, 86.0
172, -70.0, 21.0, 73.0, 59.0
173, 0.0, 10.0, 66.0, 77.0
174, -47.0, 13.0, 70.0, 77.0
175, 178.0, -14.0, 73.0, 76.0
176, -136.0, -4.0, 62.0, 54.0
177, -119.0, 22.0, 47.0, 82.0
178, -170.0, 10.0, 49.0, 56.0
179, 2.0, 18.0, 76.0, 78.0
180, -115.0, -14.0, 66.0, 62.0
